Business Name,Phone
Toll Free Number - 1800,1800 123 1234
LandLine Number,05568 222 2222
Mobile Number starting with 0 and a single embedded space,098765 43210
No Mobile Number - 1,
Mobile Number starting with 0 and a single embedded space,098765 43210
No Mobile Number - 2,
Mobile Number starting with 0 and a single embedded space,098765 43210
Mobile Number starting with 0 and a single embedded space,098765 43210
No Mobile Number - 3,
Toll Free Number - 1860,1860 123 1234
Mobile Number starting with 0 and a single embedded space,098765 43210
Mobile Number starting with 0 and a single embedded space,098765 43210
